,id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,review_scores_rating,number_of_reviews
148,1637744,8697449,1,South Park Hill,39.74252122741143,-104.90984541509505,Private room,3,1.0,1,2.0,60.0,15.0,97.0,31
151,1678845,8882030,1,Five Points,39.75860069029893,-104.98612396570455,Entire home/apt,2,1.0,1,1.0,135.0,70.0,97.0,94
154,1733052,2416216,1,Cheesman Park,39.738713453437846,-104.97072953420572,Private room,3,1.0,1,2.0,85.0,0.0,98.0,622
155,1737365,3378084,1,Highland,39.758784474281406,-105.01352849523899,Entire home/apt,2,1.0,0,1.0,129.0,85.0,99.0,57
156,1777510,9331985,1,Washington Park,39.70169270149595,-104.9623532598618,Entire home/apt,5,1.0,2,3.0,219.0,120.0,98.0,100
157,1785877,6674631,0,Cheesman Park,39.73705101314686,-104.96834114686408,Private room,2,1.0,1,1.0,56.0,0.0,95.0,125
158,1792152,9402581,1,Congress Park,39.73404292780568,-104.94653631259848,Private room,2,1.0,2,1.0,78.0,10.0,98.0,190
159,1801950,9447036,1,CBD,39.74660139561602,-104.9931138158452,Entire home/apt,4,1.5,1,2.0,249.0,90.0,98.0,128
161,1828462,9566782,0,North Capitol Hill,39.741411507349966,-104.98735865530114,Entire home/apt,3,1.0,0,1.0,120.0,30.0,82.0,325
162,1845556,8704266,0,Sunnyside,39.77955225985128,-105.02221590183711,Entire home/apt,4,1.0,2,2.0,95.0,20.0,94.0,141
167,1905596,5811115,0,Berkeley,39.78124578200972,-105.03799142683468,Entire home/apt,4,1.0,2,2.0,125.0,100.0,92.0,66
175,1966084,8354816,0,Capitol Hill,39.734975157186334,-104.98087504064974,Entire home/apt,8,2.0,4,4.0,400.0,175.0,99.0,24
181,2104774,4087056,1,City Park West,39.74153436391844,-104.96733470092664,Entire home/apt,2,1.0,1,1.0,80.0,70.0,96.0,38
183,2139342,10917089,1,Hilltop,39.720613866901104,-104.91187495836522,Entire home/apt,4,1.0,2,2.0,97.0,200.0,99.0,141
184,2146050,393372,1,Baker,39.71627198269904,-104.98914238901631,Entire home/apt,2,1.0,1,1.0,90.0,40.0,98.0,206
