id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16807778,Private Room near DIA,110812042,Jonny & Micayla,,Gateway - Green Valley Ranch,39.78818055294232,-104.76991834174183,Private room,50,1,111,2018-08-24,5.73,1,328
16812359,Bright & modern condo walk to Larimer /16th,99134504,Ashley,,CBD,39.745437294779556,-104.99847338779963,Entire home/apt,155,3,11,2018-06-29,0.58,1,0
16813754,Cozy Comfort on Harvard Gulch Park,6413697,Patrick,,Rosedale,39.67035859844709,-104.98591881804992,Private room,75,2,17,2018-07-25,0.89,2,3
16825395,"Bright, airy 4BD home in Baker",111954321,Erika,,Baker,39.715826152154186,-104.99327426078189,Entire home/apt,300,3,53,2018-08-14,2.90,1,254
16826817,"Cozy, modern townhome in quiet, central area.",11612461,Lex,,Speer,39.725323714396254,-104.97999122821174,Entire home/apt,100,2,0,,,1,0
16838784,Near Downtown 1 Bedroom & 1 Bath,112092935,Trista,,Cole,39.76496851736145,-104.97101705942576,Private room,45,2,20,2018-08-12,1.16,1,343
16844845,LOHI Denver Lower Level Separate Entrance,47215671,Todd,,Highland,39.76523141681836,-105.00866769886755,Private room,100,2,46,2018-07-31,2.40,1,83
16846436,Our Denver Sunnyside apartment,33666244,Beth  And David,,Sunnyside,39.77197957997703,-105.0151721079119,Entire home/apt,119,2,48,2018-08-19,2.53,1,344
16846536,Convenient & Cozy Condo 1 mi fr 25/225 fwy,8311318,Sarah,,Hampden South,39.645527323873935,-104.88100451755805,Entire home/apt,85,1,46,2018-07-30,2.57,1,77
16855990,Cozy Central Denver Retreat with Private Yard!,20328757,Ashley,,Skyland,39.75945903086563,-104.95467314999475,Entire home/apt,80,3,68,2018-07-19,3.53,1,0
16857174,Denver RiNo Easy Come & Go,112293494,Rodney,,Five Points,39.75659168995239,-104.9867797749513,Private room,60,1,170,2018-08-20,8.84,1,16
16860525,West Wash Park Rental,112334795,Jeremiah,,Washington Park West,39.70863551589586,-104.9806360145535,Entire home/apt,88,30,6,2018-05-29,0.37,1,113
16861201,Charming 2 bed apt in pristine Denver location!,794269,Gabriela,,Speer,39.7189668562443,-104.97421722311857,Entire home/apt,89,2,30,2018-08-21,4.71,1,326
16870147,Charming Home near DU with Large Outdoor Patio,51523824,Tanya,,University,39.6689093791386,-104.96702641490097,Entire home/apt,190,2,32,2018-06-16,1.73,2,75
16895068,Private Room in Wash Park Bungalow,15722515,Tim,,Washington Park West,39.70980230018744,-104.981417856267,Private room,65,1,65,2018-08-26,3.42,2,307
16895097,Rad & Cool Bungalow for Downtown Enthusiasts!,112731910,Julie,,Lincoln Park,39.73187951195939,-104.9966531517208,Entire home/apt,99,1,93,2018-08-12,4.90,1,19
16895126,Cozy room in Denver area town-home. *420 friendly.,112730616,Darrell,,Washington Virginia Vale,39.694416230954964,-104.91131100827548,Private room,59,2,78,2018-08-03,4.11,1,42
16896439,Congress Park Casa | Botanic Gardens + Amenities,54514753,Ross,,Congress Park,39.73727413612074,-104.95370266116589,Entire home/apt,200,4,2,2017-07-04,0.11,1,0
16913376,Centrally located  with roof top deck!,20175198,Leah,,Jefferson Park,39.748077758908565,-105.02209509887052,Entire home/apt,250,2,74,2018-08-17,4.00,1,111
16914193,"WASHINGTON PARK WEST, Old West Charm & Antiques.",112936416,Gary,,Washington Park West,39.6985988615585,-104.97658516540507,Entire home/apt,89,2,111,2018-08-17,6.50,1,127
16924768,Spacious Whittier 1 Bed and Bath,205740,Shivani,,Whittier,39.753397385810054,-104.96675044791256,Private room,75,2,20,2018-08-20,1.15,1,54
16925673,Classic mid-century home near downtown Denver,21085724,LaMark,,Hilltop,39.72062578634268,-104.91275385273045,Private room,80,1,79,2018-07-16,4.37,3,86
16944084,Upstairs of Charming cottage style (2 of 2 bdrms),32766212,John,,Cole,39.76376316257967,-104.96112187983366,Private room,50,4,20,2018-08-22,1.12,2,338
16944159,Great New Apartment in Capitol Hill,113264599,James,,Capitol Hill,39.73041083098866,-104.98722582175033,Entire home/apt,125,1,1,2017-02-19,0.05,1,0
16944762,Bubble Unicorn School Bus to Red Rocks!,88139626,Stephanie,,Villa Park,39.731206612324684,-105.04919792106669,Private room,699,1,0,,,1,363
16946653,West Highlands Home,82339208,Halley,,West Highland,39.76763304841618,-105.05216881668333,Private room,45,1,21,2018-07-01,1.14,1,49
16947747,Casa Tejon: Tree Houze,65414250,Vinny,,Sunnyside,39.77037593105905,-105.0106381310475,Entire home/apt,110,1,21,2018-08-19,4.88,1,0
16961358,Spacious new townhome - Great location - Roof Deck,16927310,Kyle,,West Colfax,39.743696128293266,-105.03117846118539,Entire home/apt,199,3,2,2018-08-16,0.50,1,14
16963612,Modern Private Bedroom For Females,370568,Khari,,Washington Virginia Vale,39.69911450438634,-104.92797532030755,Private room,39,2,14,2018-06-24,0.80,1,338
16963830,Cozy city living in quiet neighborhood,95303066,Amanda,,Northeast Park Hill,39.763064219853824,-104.91951505777773,Private room,45,2,43,2018-08-01,2.50,1,56
16976092,Private bed & bath w/rooftop - walk everywhere!,18736830,Baxter,,Five Points,39.753289979449036,-104.98172726685219,Private room,115,1,11,2018-08-25,0.60,1,77
17012966,Spacious Tudor charm 1bd in vibrant S. City Park,114064650,Nicholas,,City Park,39.743199719008935,-104.95150356037088,Entire home/apt,100,30,1,2018-08-18,1,1,0
17015004,Stay in Lo-Hi! Heart of the hip Highlands district,7364980,Kristy & Gus,,Highland,39.75765274103494,-105.01293284218414,Entire home/apt,150,1,19,2018-08-15,1.04,1,328
17015278,New Townhouse next to Mile High Stadium & Downtown,44392183,Justin,,West Colfax,39.738393020907296,-105.02967955207606,Entire home/apt,136,3,56,2018-08-12,2.98,1,159
17022504,Hip Location- RiNo,9330597,Ryan,,Five Points,39.765010378314294,-104.9860060662168,Entire home/apt,135,2,89,2018-08-19,4.71,1,61
17024740,Jeff and Staceys Grape Street retreat!,16101817,Jeff,,Hale,39.73854353734741,-104.92348838570733,Entire home/apt,175,2,37,2018-07-29,1.95,1,27
17043332,Winston Downs 1 Bedroom Private Apt. in House,20812370,Jacquie,,Washington Virginia Vale,39.702673490283736,-104.90547207557753,Entire home/apt,100,2,9,2017-10-20,0.49,1,26
17044680,"Amazing, private Master Suite close to everything!",3811839,Annabelle + Christian,,City Park West,39.74589376172161,-104.96288887347804,Private room,70,1,140,2018-08-20,7.57,4,159
17046315,Garden level getaway cannabis friendly,59967996,William,,Sunnyside,39.770833250768376,-105.01005703824558,Entire home/apt,99,1,54,2018-08-05,2.95,2,344
17047745,"Modern, Chic Private Basement Apartment- DIA",22824919,Anna,,Stapleton,39.788161849220195,-104.89456128691614,Private room,64,1,36,2018-07-29,1.92,2,170
17071293,007 Huge Suite - Awesome Views of Denver and Mtns,3042995,Scott,,Gateway - Green Valley Ranch,39.79770665211325,-104.73568344268107,Private room,75,1,97,2018-08-11,5.90,14,358
17071557,Colorful Congress Park Condo,63281369,Alana,,Congress Park,39.733777848875484,-104.9414372935856,Entire home/apt,80,2,19,2017-05-01,1.03,1,0
17072188,Exquisite/Spacious/Semi-Basement Wash Park Triplex,83062586,Tracy,,Washington Park West,39.700915830308894,-104.98017374320136,Entire home/apt,98,2,18,2018-08-03,1.00,2,118
17094564,Private suite + 2nd room - DIA & DTC,29874040,Li,,Hampden South,39.6457016355565,-104.88072799749195,Entire home/apt,85,1,2,2018-03-14,0.20,1,0
17098287,Kimley-Horn Employees Only,114679664,Vanessa,,Southmoor Park,39.62431985369665,-104.90771986086088,Private room,65,1,0,,,1,0
17108356,Cozy private room in urban Denver bungalow.,44887902,Andrew,,Barnum West,39.72473336197824,-105.0405370159467,Private room,39,1,105,2018-08-14,5.74,1,70
17108425,Cozy 2 Bedroom House Near Downtown,114877483,Kylie,,Chaffee Park,39.789725885128824,-105.00929730172965,Entire home/apt,100,1,52,2018-04-29,2.78,1,0
17108648,Ultra cool 2 bedroom heart of LOHI!,25129743,Samantha,,Highland,39.75758004760552,-105.01279124383228,Entire home/apt,167,1,90,2018-08-11,5.05,3,289
17109410,Comfy Carriage House in Great Location,59668410,Amy,,Stapleton,39.756310223598334,-104.87615177000107,Entire home/apt,100,1,16,2017-03-26,0.85,1,0
17117379,Private Suite in Historic Cultural District,40908947,Alaine,,Five Points,39.75444708999054,-104.97442641243997,Private room,90,1,107,2018-08-12,5.76,1,54
17122136,Small House in Ruby Hill,115057307,Rebecca,,Ruby Hill,39.69158621891911,-105.01080414911662,Private room,40,1,63,2018-08-23,3.38,1,134
17122720,Beautiful remodel in Hale Mayfair off a park,6961540,Carol,,Hale,39.73515688851656,-104.93409068404496,Entire home/apt,150,2,0,,,1,233
17124307,Gorgeous 2 bdr home near Downtown. Sleeps 6!,115084186,Alex,,Sunnyside,39.77066017831332,-105.01938971591008,Entire home/apt,225,3,28,2018-08-01,3.53,1,35
17126836,"Park Hill Oasis, private home with city access!",5191891,Kara,,North Park Hill,39.756405547259725,-104.91867944831324,Entire home/apt,111,4,20,2018-07-29,1.11,1,17
17140254,"Quiet, Cozy Home Near DIA and Downtown",33653108,Jillian,,Stapleton,39.75582685647133,-104.88909952848174,Entire home/apt,39,2,22,2018-06-30,1.27,2,0
17144191,Amazing Little Raven Street Apartment,114353388,Stay Alfred,,Union Station,39.75586013948332,-105.00541741283256,Entire home/apt,230,1,0,,,71,347
17144192,Beautiful Little Raven Street Apartment,114353388,Stay Alfred,,Auraria,39.75344434044151,-105.00788972997985,Entire home/apt,230,1,0,,,71,316
17144193,Captivating Little Raven Street Apartment,114353388,Stay Alfred,,Union Station,39.75405577816474,-105.00792282168656,Entire home/apt,230,1,0,,,71,321
17144194,Attractive Little Raven Street Apartment,114353388,Stay Alfred,,Union Station,39.75603061503619,-105.0041774847644,Entire home/apt,230,1,0,,,71,354
17144195,Breathtaking Little Raven Street 2 Bedroom,114353388,Stay Alfred,,Auraria,39.75332391542716,-105.00809415864063,Entire home/apt,230,1,0,,,71,309
17144196,Charming Little Raven Street Apartment,114353388,Stay Alfred,,Union Station,39.752635605443494,-105.0060134572341,Entire home/apt,230,1,0,,,71,322
17144197,Awesome Little Raven Street Apartment by Stay Alfred,114353388,Stay Alfred,,Union Station,39.75410219204647,-105.0072437550678,Entire home/apt,230,1,0,,,71,319
17151090,Modern Home near Lake and minutes from Downtown,10493254,Scott,,Sloan Lake,39.75392231836951,-105.03909547142057,Entire home/apt,350,30,2,2018-08-04,0.15,1,310
17154487,1 BEDROOM SPIRE CONDOMINIUMS 12TH FLOOR,24157036,Angela,,CBD,39.74422648465908,-104.99591788851785,Entire home/apt,214,30,0,,,41,350
17154609,"Brand new, rooftop view, steps to downtown!",27128741,Ahmed,,Five Points,39.748446823374145,-104.97413626987574,Private room,85,1,132,2018-08-10,7.46,1,322
